rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,entity,algorithm
4,2000,10,3.918918918918919,0.8646510619747372,0.5166682363305556,-4.502973661852167,0.0,0.0180943143285229,0.9444562099592032,Austropotamobius fulcisianus (pooled),random_forest
4,2000,20,5.503355704697986,0.8660721763823099,0.5604286770160356,-9.260832625318606,-8.0,0.0224651052756091,0.9323813618379558,Austropotamobius fulcisianus (pooled),random_forest
4,2000,50,12.634408602150538,0.8481550163244753,0.5167363941707358,-28.80203908241292,-18.68686868686869,0.0413596719501616,0.891110832575883,Austropotamobius fulcisianus (pooled),random_forest
5,1000,10,1.4864864864864866,0.8343913029006302,0.5164130992581499,-0.3372681281618886,-0.684931506849315,0.0168281681255421,0.9478310446576316,Austropotamobius fulcisianus (pooled),random_forest
5,1000,20,2.8187919463087248,0.8628169127905347,0.5627463765106375,-6.57672849915683,-3.864734299516908,0.0228527718634177,0.9282657692917065,Austropotamobius fulcisianus (pooled),random_forest
5,1000,50,7.526881720430108,0.841149043780639,0.5946448952223531,-14.67116357504216,-18.725099601593627,0.0351518019083668,0.8956410168002167,Austropotamobius fulcisianus (pooled),random_forest
5,2000,10,2.702702702702702,0.83521491419551,0.4641444848365075,-1.011804384485666,1.0526315789473684,0.0175937228925163,0.9451790363129724,Austropotamobius fulcisianus (pooled),random_forest
5,2000,20,5.503355704697986,0.8546543183083277,0.564080542074128,-6.323777403035413,-4.6966731898238745,0.024934468890466,0.921137431748728,Austropotamobius fulcisianus (pooled),random_forest
5,2000,50,13.844086021505376,0.8464648325423161,0.5894200597456158,-16.947723440134908,-16.8141592920354,0.0404834003627474,0.87959755223669,Austropotamobius fulcisianus (pooled),random_forest
6,1000,10,0.5405405405405406,0.8731045043333048,0.4913283760123844,-1.2432012432012431,-0.8361204013377926,0.0144813500512577,0.9573238329770192,Austropotamobius fulcisianus (pooled),random_forest
