axis,level,algorithm,track,metric,delta,ci_lo,ci_hi,n,entities,tier
lowacc,20,xgboost,combined,sensitivity,-0.03349153948434403,-0.05526843817800808,-0.013432358788484441,240,8,full_panel
lowacc,20,xgboost,combined,specificity,-0.043633801620482096,-0.0674259716655667,-0.02286712541088592,240,8,full_panel
lowacc,20,xgboost,combined,omission_rate,0.03349153948434404,0.01333759965598525,0.05527664536193637,240,8,full_panel
lowacc,20,xgboost,combined,importance_spearman,,,,0,8,full_panel
lowacc,20,xgboost,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,20,xgboost,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,20,xgboost,local_only,auc,-0.04207617351194902,-0.0638071623017282,-0.023956229544663123,240,8,full_panel
lowacc,20,xgboost,local_only,tss,-0.0774559989255113,-0.108917536966804,-0.04966510881662495,240,8,full_panel
lowacc,20,xgboost,local_only,brier,0.024355548669168177,0.014228888080842017,0.03743963691513633,240,8,full_panel
lowacc,20,xgboost,local_only,sensitivity,-0.03360095051329125,-0.05503204999444967,-0.013023650035458922,240,8,full_panel
lowacc,20,xgboost,local_only,specificity,-0.04385504841222007,-0.06920391284782591,-0.0214660253725025,240,8,full_panel
lowacc,20,xgboost,local_only,omission_rate,0.03360095051329125,0.01225811171556048,0.05443917681069573,240,8,full_panel
lowacc,20,xgboost,local_only,importance_spearman,,,,0,8,full_panel
lowacc,20,xgboost,local_only,env_centroid_disp,,,,0,8,full_panel
lowacc,20,xgboost,local_only,env_dispersion_change,,,,0,8,full_panel
lowacc,20,xgboost,upstream_only,auc,-0.01762132457509084,-0.03574460424743417,0.0005679040135831828,240,8,full_panel
lowacc,20,xgboost,upstream_only,tss,-0.04883616968007985,-0.08799861258562339,-0.01016467399068494,240,8,full_panel
lowacc,20,xgboost,upstream_only,brier,0.004504727373880172,-0.0028341913976747584,0.014664798706615781,240,8,full_panel
lowacc,20,xgboost,upstream_only,sensitivity,-0.009515527969078164,-0.04682371545808301,0.03361912813952713,240,8,full_panel
lowacc,20,xgboost,upstream_only,specificity,-0.03932064171100167,-0.07707021139383073,-0.008975575570873308,240,8,full_panel
lowacc,20,xgboost,upstream_only,omission_rate,0.009515527969078164,-0.03154633170600839,0.04745068196900225,240,8,full_panel
lowacc,20,xgboost,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,20,xgboost,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,20,xgboost,upstream_only,env_dispersion_change,,,,0,8,full_panel
snapping,1,maxent,combined,auc,0.0012612842049233189,-0.001487895988342234,0.004445577103333702,130,13,full_panel
snapping,1,maxent,combined,tss,0.0029138875793715013,-0.0030836372660499405,0.009854513198899375,130,13,full_panel
snapping,1,maxent,combined,brier,7.606745933006396e-05,-0.005439145303514886,0.005123108541643173,130,13,full_panel
snapping,1,maxent,combined,sensitivity,0.0029821697473513594,-0.005225705483223039,0.01446169448910259,130,13,full_panel
snapping,1,maxent,combined,specificity,-6.82821679798879e-05,-0.006808843313881638,0.007254279095274729,130,13,full_panel
snapping,1,maxent,combined,omission_rate,-0.0029821697473513585,-0.013800371707924744,0.005234869961858849,130,13,full_panel
snapping,1,maxent,combined,importance_spearman,,,,0,13,full_panel
snapping,1,maxent,combined,env_centroid_disp,,,,0,13,full_panel
snapping,1,maxent,combined,env_dispersion_change,,,,0,13,full_panel
snapping,1,maxent,local_only,auc,0.0003693334681286024,-0.00227482782586246,0.0037586510034689005,130,13,full_panel
snapping,1,maxent,local_only,tss,0.0049352526143198044,-0.003189388063220573,0.01830825602585431,130,13,full_panel
snapping,1,maxent,local_only,brier,0.002553351983010965,-0.0013885380739130967,0.008028234501105604,130,13,full_panel
snapping,1,maxent,local_only,sensitivity,0.008047306206620551,-0.003463927330967882,0.027038437108152846,130,13,full_panel
snapping,1,maxent,local_only,specificity,-0.0031120535923007562,-0.01008679001407875,0.0019957983403598415,130,13,full_panel
snapping,1,maxent,local_only,omission_rate,-0.008047306206620562,-0.02843971333907542,0.003061655909844278,130,13,full_panel
snapping,1,maxent,local_only,importance_spearman,,,,0,13,full_panel
snapping,1,maxent,local_only,env_centroid_disp,,,,0,13,full_panel
snapping,1,maxent,local_only,env_dispersion_change,,,,0,13,full_panel
