entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,random_forest,snapping,5,0.9806313375421176,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9781263554778464,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.982027138305109,0.6666666666666666,0.6666666666666666
Astacus astacus,random_forest,snapping,5,0.9712590239600039,1.0,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9814142337629491,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9796789365846618,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9748057344470163,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9716308923042264,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9796788842567149,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,snapping,5,0.9794816619177965,0.6666666666666666,1.0
Astacus astacus,random_forest,snapping,5,0.9739351085138684,0.6666666666666666,0.8181818181818182
Astacus astacus,xgboost,lowacc,3,0.6628857226336082,0.6666666666666666,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.5971050325579854,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6073009429909277,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6820771823259154,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6514772350965737,0.42857142857142855,0.42857142857142855
