entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,35,30,0.7790042558153423,0.7660059074698794,0.7916143747939832
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,50,30,0.7887971615357615,0.7761017142550917,0.8012695653431618
Austropotamobius_fulcisianus_pooled,random_forest,snapping,0,50,0.8332770648128388,0.8205003933025601,0.8456488593604455
Austropotamobius_fulcisianus_pooled,random_forest,snapping,5,50,0.8241356660277215,0.8094338447694742,0.8378961408807671
Austropotamobius_fulcisianus_pooled,random_forest,snapping,10,50,0.8291688724113966,0.8180744158624089,0.8404965452842015
Austropotamobius_fulcisianus_pooled,random_forest,snapping,20,30,0.8186548265787984,0.799728921577975,0.8369131829290662
Austropotamobius_fulcisianus_pooled,random_forest,snapping,35,30,0.8481097491176979,0.8362044942842706,0.8596480746528726
Austropotamobius_fulcisianus_pooled,random_forest,snapping,50,30,0.836056314490057,0.8123630577112941,0.8564781596112995
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,0,50,0.8336235723729867,0.8218052117930101,0.8452563155294247
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,5,50,0.8119005012887599,0.7964883777746383,0.8270616495296094
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,10,50,0.7886785299581647,0.7720163909436656,0.8038074316474937
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,20,30,0.7743085478251255,0.7600837357548909,0.7879190613389565
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,35,30,0.7699920972452075,0.7571293465818403,0.7825129067176855
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,50,30,0.7677037009019793,0.7521827748791814,0.7821800605234844
Austropotamobius_fulcisianus_pooled,xgboost,snapping,0,50,0.8265361171236472,0.8133402823539148,0.8398821458387887
Austropotamobius_fulcisianus_pooled,xgboost,snapping,5,50,0.8153499585447384,0.800899152486352,0.8298423099990213
Austropotamobius_fulcisianus_pooled,xgboost,snapping,10,50,0.8209908253041202,0.8086898680072611,0.8330749214981288
Austropotamobius_fulcisianus_pooled,xgboost,snapping,20,30,0.8033199346726418,0.7825584515010778,0.8230421001251143
Austropotamobius_fulcisianus_pooled,xgboost,snapping,35,30,0.8330219558664063,0.8198444401189903,0.8459593063873537
Austropotamobius_fulcisianus_pooled,xgboost,snapping,50,30,0.8278718024536827,0.8082533884839062,0.8459221411599875
Austropotamobius_torrentium_pooled,maxent,lowacc,0,44,0.668771237008658,0.6512950084671246,0.6867547072252976
Austropotamobius_torrentium_pooled,maxent,lowacc,5,39,0.6348895684855265,0.6094116997418222,0.6583268925241066
Austropotamobius_torrentium_pooled,maxent,lowacc,10,34,0.6402788019039636,0.6163530133630001,0.6656260670011714
Austropotamobius_torrentium_pooled,maxent,lowacc,20,25,0.6460804147697315,0.6155735684939396,0.6744191988028491
Austropotamobius_torrentium_pooled,maxent,lowacc,35,26,0.5921866528458894,0.5685627343473655,0.6159552900090237
Austropotamobius_torrentium_pooled,maxent,lowacc,50,25,0.5982281286205997,0.5685019276869392,0.6261817078279447
Austropotamobius_torrentium_pooled,maxent,snapping,0,44,0.6473346011140516,0.6224886871532533,0.6711074534146909
Austropotamobius_torrentium_pooled,maxent,snapping,5,40,0.6485243021128992,0.6266817955613971,0.6706138644587604
Austropotamobius_torrentium_pooled,maxent,snapping,10,44,0.6419575743258373,0.6196017157876815,0.6643825220986753
Austropotamobius_torrentium_pooled,maxent,snapping,20,25,0.6020556497669648,0.5805146890762459,0.6227736943514984
Austropotamobius_torrentium_pooled,maxent,snapping,35,25,0.6153749505284584,0.5873371866046015,0.6410415272774578
Austropotamobius_torrentium_pooled,maxent,snapping,50,29,0.5817663361371783,0.552204831785202,0.6092097072334571
Austropotamobius_torrentium_pooled,random_forest,lowacc,0,50,0.7680668629679083,0.7367392373731793,0.7960839123811361
Austropotamobius_torrentium_pooled,random_forest,lowacc,5,50,0.7192818646376647,0.688945244262283,0.7465327944063996
Austropotamobius_torrentium_pooled,random_forest,lowacc,10,50,0.7169521039594038,0.689750841458452,0.7423431495575409
Austropotamobius_torrentium_pooled,random_forest,lowacc,20,30,0.6922658344654777,0.6579122769513104,0.722233264418128
Austropotamobius_torrentium_pooled,random_forest,lowacc,35,30,0.6893210701362456,0.6599272751119666,0.7200605104226725
Austropotamobius_torrentium_pooled,random_forest,lowacc,50,30,0.6483333942624335,0.6100019021251682,0.6865717873551906
