algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
random_forest,combined,snapping,0,50,0.7719852503179451,0.7583192923699034,0.7854669806634605,0.3465752730652409,0.32229951108658855,0.3709094377234296,0.15524973866974787,0.1516403662607793,0.15905106098968316,0.7909786663963889,0.7802170929418196,0.8021772590041649,0.555596606668852,0.5295464977715192,0.5795917959252502
random_forest,combined,snapping,5,50,0.7774459926734546,0.7609373402193385,0.7934388310395469,0.33374138393395797,0.30679902076464166,0.3609997369984627,0.15210856150868038,0.14873908328450114,0.15550569182715634,0.8019689362019315,0.7910135060083413,0.8125068212829792,0.5317724477320265,0.5041341610354961,0.5609699633014237
random_forest,combined,snapping,10,50,0.766461820919839,0.7482717619165363,0.7836719513438801,0.35378698216304394,0.32653226547837066,0.38102749569431077,0.14840415281975308,0.14472992871403006,0.15235271219926583,0.8119347800488681,0.7994717495938987,0.8242664650291769,0.5418522021141758,0.5098582322916644,0.5732661128505979
random_forest,combined,snapping,20,30,0.7682537145181623,0.751591473330013,0.7837847783718174,0.34694388813074944,0.31148083882791494,0.38407292096748014,0.1559871696675749,0.15157291986060836,0.1606118394126364,0.7756066545477246,0.7550992717209138,0.795566664494728,0.5713372335830246,0.5383664193725398,0.6055838421591403
random_forest,combined,snapping,35,30,0.7635105618278238,0.7405965491580615,0.785178488832443,0.3418957813299215,0.30320485690304755,0.38118183647471543,0.14384096794642068,0.13903572610366066,0.14862219549150027,0.7818956561786667,0.7664265589556791,0.797164706633419,0.5600001251512549,0.5165253781796507,0.604114976621334
random_forest,combined,snapping,50,30,0.7868447182055973,0.7738072273319706,0.7991188718621579,0.3611301065361945,0.322133991605147,0.39884841930502307,0.14366626132297447,0.14050850801036785,0.1472313500280861,0.7602675535855107,0.7488028818000962,0.7722579612026842,0.6008625529506838,0.5625566687603929,0.6381615484651526
random_forest,local_only,lowacc,0,50,0.7837052658597529,0.7657240362294265,0.7996087811683442,0.3676544393725971,0.34174060182320015,0.39384593610187024,0.15142883244202607,0.14773088858468106,0.1554539354933354,0.8067203914878374,0.7915354336855346,0.8206847142283024,0.5609340478847598,0.5303882105466647,0.5920669123861885
random_forest,local_only,lowacc,5,50,0.754229293313377,0.7411183726037704,0.7669456657744297,0.3446216013906186,0.3205819289941503,0.36742544102929836,0.16382486391530435,0.15982855711928753,0.16764338074329244,0.7927119363360424,0.7777298740130989,0.807551646571168,0.5519096650545761,0.5247948248073135,0.5785594457242981
random_forest,local_only,lowacc,10,50,0.7478643607289394,0.7331848688258746,0.761012568550837,0.32020607979706633,0.29716020490751527,0.3432448003037324,0.17063327982336918,0.16729221958012153,0.17387947093506573,0.7695459270337853,0.7560112159755078,0.7828002811178252,0.5506601527632808,0.526302173460844,0.5761481034193364
random_forest,local_only,lowacc,20,30,0.7234680862351719,0.7051585921099467,0.739261691071109,0.2644129654159571,0.22963410904327675,0.29713811457294736,0.1854668250052953,0.18149848979902522,0.18978667599246393,0.7478850323943199,0.7318037515959722,0.7625660936134191,0.5165279330216371,0.47884052410063094,0.5534658795869832
random_forest,local_only,lowacc,35,30,0.6838594328758727,0.6733555016420429,0.69498643028442,0.19671914806212246,0.17342284881087186,0.21943088619640921,0.20451743013054796,0.20095943969579624,0.20843885394169187,0.7313629467486576,0.7135283627161357,0.7487161053894783,0.46535620131346483,0.4378085582252638,0.4916258505449878
random_forest,local_only,lowacc,50,30,0.6735926496219179,0.6588102945865032,0.6866151471713171,0.22825399755912548,0.197189378998582,0.26120160832797257,0.2186542350461975,0.2146768325150313,0.22267428729273928,0.7383301833597663,0.7212966205255286,0.7544672376000492,0.48992381419935943,0.4578306236401648,0.5234172527404323
random_forest,local_only,snapping,0,50,0.7717826156445107,0.758282317376358,0.7857076888282768,0.3499643487992221,0.32675024434001065,0.37357997046879565,0.15557834320072747,0.1517562210992374,0.15925220376237204,0.8000516500407895,0.7895473349083024,0.8103808068544953,0.5499126987584326,0.5267141391458924,0.5726029041758182
random_forest,local_only,snapping,5,50,0.7734330923652848,0.755821026519348,0.7894799741027961,0.33362210925504754,0.3056130196012346,0.3633884767158185,0.15229639724725574,0.1486223470818251,0.1559100632819384,0.8053152154048281,0.7938561564321409,0.8171966876380417,0.5283068938502195,0.49690468857462733,0.5583405456766256
random_forest,local_only,snapping,10,50,0.7691095597954163,0.7523824273916788,0.7861980791592937,0.3440052951268134,0.3173307456282343,0.3690815394467183,0.14856767794978018,0.14466276529757838,0.15271905854121606,0.8137092695041734,0.800854612850078,0.826059208265794,0.53029602562264,0.5006959156755364,0.559308905037074
random_forest,local_only,snapping,20,30,0.7658415244062116,0.750140134393757,0.7813098526932978,0.3413409068616566,0.3070829149151408,0.37480987677184263,0.1567518896237581,0.15209321901958262,0.16154566096863882,0.7769624367839945,0.7578993804055664,0.7950883700388574,0.564378470077662,0.5316774008375582,0.5974776185084062
random_forest,local_only,snapping,35,30,0.7619407226627721,0.7405758208028784,0.7825646113023853,0.32362101859519155,0.2835646456939316,0.36329629860914825,0.1452079887603859,0.1410475618797126,0.14989589731410424,0.782921497205914,0.7676169865479647,0.799615459715552,0.5406995213892777,0.49552674182161466,0.5865236644152029
random_forest,local_only,snapping,50,30,0.7828206255372858,0.7672806009603955,0.7963869871946138,0.3634614783462841,0.3331007912630063,0.3932298823033773,0.14412866421427892,0.1407557719503085,0.14789212511973487,0.7632745488378313,0.752533597646044,0.7741956818926127,0.6001869295084528,0.5701054524531722,0.6311892826108454
random_forest,upstream_only,lowacc,0,50,0.7142312852765567,0.6986402002537923,0.7286946082692515,0.31192096244925177,0.285288134916515,0.33837808949770914,0.19177442600600844,0.18890916542045597,0.19513236594967362,0.6395007315670153,0.6261734545956822,0.6530615619719705,0.6724202308822365,0.6466683729415651,0.6970935819837939
random_forest,upstream_only,lowacc,5,50,0.701709500127099,0.6889828319093462,0.7137105492576962,0.2983457351525639,0.27173615387123967,0.3230864501390884,0.19666303185586764,0.19402972000592605,0.19936249579834103,0.6100696031060069,0.5986331863497335,0.6221984669174223,0.6882761320465569,0.6627407358932996,0.7129773040271676
random_forest,upstream_only,lowacc,10,50,0.6985605524128117,0.6866075440109313,0.7095193653414171,0.27797201193692184,0.25638883939798984,0.2984978440165421,0.19847406840524734,0.1957399194428272,0.20120716938366284,0.5886628326544403,0.5737043672858573,0.6038823998008588,0.6893091792824815,0.6669394452288354,0.7107105027135169
